ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF053XYZ	K562	POLR2AphosphoS5	HepG2	2959575	15836	25000	30219	1292	260
ENCFF055HMB	HepG2	HNRNPH1	HepG2	2959575	15836	25000	2638	450	18
ENCFF057MJF	HepG2	U2AF1	HepG2	2959575	15836	25000	5990	954	38
ENCFF057RJK	K562	RREB1	HepG2	2959575	15836	25000	8565	370	78
ENCFF057SID	K562	NCOA2	HepG2	2959575	15836	25000	3259	104	33
ENCFF058VGZ	K562	ZNF184	HepG2	2959575	15836	25000	12450	534	99
ENCFF058ZHN	K562	MTA1	HepG2	2959575	15836	25000	16046	866	143
ENCFF060IPX	HepG2	ZEB1	HepG2	2959575	15836	25000	14129	3844	116
ENCFF060MHX	HepG2	ZNF865	HepG2	2959575	15836	25000	21351	2177	162
ENCFF060REJ	HepG2	GATAD1	HepG2	2959575	15836	25000	25196	5144	212
ENCFF061ZIT	HepG2	NFYC	HepG2	2959575	15836	25000	15453	2468	134
ENCFF062KLW	MCF-7	RAD51	HepG2	2959575	15836	25000	6715	469	48
ENCFF062UNZ	HepG2	HSF2	HepG2	2959575	15836	25000	6223	1304	51
ENCFF063NIH	K562	L3MBTL2	HepG2	2959575	15836	25000	50831	2223	436
ENCFF063VRD	K562	ZNF23	HepG2	2959575	15836	25000	2080	121	19
ENCFF065ASC	MCF-7	NBN	HepG2	2959575	15836	25000	1914	79	10
ENCFF065RZP	K562	ETV1	HepG2	2959575	15836	25000	22205	1155	163
ENCFF066CWG	K562	FOXK2	HepG2	2959575	15836	25000	23190	1262	195
ENCFF066OJB	K562	CBX5	HepG2	2959575	15836	25000	6993	175	52
ENCFF067BCD	K562	NCOA4	HepG2	2959575	15836	25000	1912	84	14
ENCFF067FJF	K562	THRAP3	HepG2	2959575	15836	25000	4960	203	32
ENCFF067KCK	K562	SKIL	HepG2	2959575	15836	25000	18832	895	161
ENCFF068IGH	K562	MXI1	HepG2	2959575	15836	25000	9088	405	79
ENCFF068MGV	K562	NKRF	HepG2	2959575	15836	25000	17223	627	141
ENCFF069QZX	HepG2	SIX1	HepG2	2959575	15836	25000	14587	4876	119
ENCFF069YFV	HepG2	NFAT5	HepG2	2959575	15836	25000	9162	1084	80
ENCFF070JYN	MCF-7	MTA1	HepG2	2959575	15836	25000	6916	447	55
ENCFF070QDA	HepG2	ZNF639	HepG2	2959575	15836	25000	11857	2222	95
ENCFF070XVL	HepG2	SOX5	HepG2	2959575	15836	25000	41029	9783	346
ENCFF071GJH	K562	RBM34	HepG2	2959575	15836	25000	1085	18	10
ENCFF072JDK	K562	ZNF507	HepG2	2959575	15836	25000	11288	34	111
ENCFF073UWB	HepG2	KLF9	HepG2	2959575	15836	25000	7789	1796	54
ENCFF074XQR	HepG2	ARNT	HepG2	2959575	15836	25000	636	60	7
ENCFF075BRS	K562	GTF2F1	HepG2	2959575	15836	25000	4869	191	35
ENCFF075OIT	K562	ARNT	HepG2	2959575	15836	25000	4257	298	45
ENCFF075TIU	MCF-7	TAF1	HepG2	2959575	15836	25000	8552	275	72
ENCFF076ESL	HepG2	HIVEP1	HepG2	2959575	15836	25000	17685	2870	148
ENCFF076GSK	K562	MITF	HepG2	2959575	15836	25000	31436	1035	274
ENCFF076WTT	HepG2	TBX3	HepG2	2959575	15836	25000	13021	4243	115
ENCFF078ATH	HepG2	ZNF778	HepG2	2959575	15836	25000	4595	486	29
ENCFF079EGS	K562	ZBTB5	HepG2	2959575	15836	25000	3061	110	23
ENCFF079ERC	K562	CSDE1	HepG2	2959575	15836	25000	1257	63	13
ENCFF079KQG	HepG2	ZNF768	HepG2	2959575	15836	25000	32306	2543	233
ENCFF079MYL	A549	ZSCAN20	HepG2	2959575	15836	25000	3330	572	29
ENCFF079UOJ	HepG2	JUN	HepG2	2959575	15836	25000	18390	3096	152
ENCFF080KWE	K562	ZNF311	HepG2	2959575	15836	25000	7259	419	66
ENCFF080TIX	HepG2	RBAK	HepG2	2959575	15836	25000	5557	1255	49
ENCFF082DOH	K562	CBFA2T3	HepG2	2959575	15836	25000	49681	1854	401
ENCFF084BUP	K562	SMAD1	HepG2	2959575	15836	25000	8821	533	60
ENCFF086TAD	K562	ATF4	HepG2	2959575	15836	25000	40125	1245	335
ENCFF086ZTC	HepG2	MAZ	HepG2	2959575	15836	25000	15118	2138	132
ENCFF088YXY	HepG2	RFX1	HepG2	2959575	15836	25000	5942	862	64
ENCFF089XCL	HepG2	RELA	HepG2	2959575	15836	25000	6509	1243	54
ENCFF090CEP	MCF-7	E2F4	HepG2	2959575	15836	25000	1221	24	4
ENCFF091NQE	MCF-7	ELF1	HepG2	2959575	15836	25000	21058	1248	148
ENCFF091TCH	K562	RBM15	HepG2	2959575	15836	25000	285	5	1
ENCFF092DLN	K562	RBM14	HepG2	2959575	15836	25000	2991	69	31
ENCFF093AZT	HepG2	MTA3	HepG2	2959575	15836	25000	598	54	3
ENCFF096AYV	K562	ZNF518B	HepG2	2959575	15836	25000	722	35	11
ENCFF096EUR	HepG2	PPARGC1A	HepG2	2959575	15836	25000	88	41	3
ENCFF096JXF	MCF-7	E2F8	HepG2	2959575	15836	25000	1444	80	5
ENCFF099OSI	K562	HMG20B	HepG2	2959575	15836	25000	1158	64	12
