ZNF197	0.6409651758295525
H3K4me1	0.4785952559317393
IKZF1	0.41547891580190843
PTRF	0.4109631199895353
USF1	0.24987621834578727
HDGF	0.1567552870979684
CBX8	0.1424322631039169
CREB3L1	0.1365667169187947
SNIP1	0.0692633993523607
ATF4	0.06798998922764693
KDM1A	0.056906354646712363
RBFOX2	0.05186189205681255
POLR2B	0.025603496366106253
HCFC1	0.024953814787145583
TCF12	0.012876163958479885
NR4A1	0.012700488656722157
CTCF	0.007739845148926037
NR2F2	0.0036504812120557034
TRIM28	0.0016515992100834525
ZNF24	0.0016436179340568015
BMI1	0.0011760948620111234
ZBTB7A	0.0006588309294117878
TFDP1	0.0006120280642884585
ZNF280A	0.0006024925332580698
POLR2G	0.0005898406019680018
ZFX	0.00026973560552562737
KDM4B	0.00024286870522625324
RFX1	0.00013244521261804884
TEAD4	4.316131537935005e-05
ZNF83	4.1056926351110235e-05
ZKSCAN8	3.4038380998083385e-05
H4K20me1	2.6698024723776826e-05
ATF7	2.221230031673746e-06
ZNF644	1.6087775013224e-06
H3K4me3	1.431007896731e-06
TBL1XR1	1.3756735796798778e-06
SIX5	9.010875184712e-07
SAFB	8.82869936995614e-07
TARDBP	7.603870631806613e-07
NKRF	6.854170037153382e-07
ZNF584	5.112818966966808e-07
CTCFL	4.6510194140711967e-07
DEAF1	4.305730458945767e-07
NUFIP1	4.21569137864e-07
TAF7	4.0778036394243084e-07
RBM14	3.8218225252070574e-07
ZNF318	3.167993065026512e-07
TAF1	3.1593126545208095e-07
ARID2	3.116432613561256e-07
ZNF263	3.092557571042e-07
CREM	2.99737965981296e-07
NFATC3	2.77927549254584e-07
DPF2	2.742126578194e-07
POLR2AphosphoS5	2.65533091340326e-07
FOS	2.621942488595015e-07
SP1	2.6159429888465717e-07
MYNN	2.546323227496e-07
ZNF282	2.539070502474e-07
GATA1	2.226304680547508e-07
KLF1	2.1911163506901628e-07
PRPF4	2.0697682803299998e-07
GTF2A2	2.0400316347581283e-07
STAT5A	1.9367278989766854e-07
HNRNPK	1.7647463744087157e-07
NR2F1	1.7383097297119325e-07
SRSF1	1.7346332785414802e-07
E4F1	1.6617045224010177e-07
IRF2	1.6551018451398206e-07
CREB1	1.6049981187273965e-07
SMARCA4	1.575498450782205e-07
CCNT2	1.4451130306118201e-07
NR2F6	1.3596478354858893e-07
HDAC6	1.3560277627422457e-07
H3K36me3	1.0906235553859791e-07
HNRNPLL	1.0867944434642301e-07
SMARCC2	1.0539311200185945e-07
NFYB	8.943431466733801e-08
SRSF3	8.464409292321344e-08
E2F8	8.416075117532643e-08
MAZ	8.029530333296504e-08
MCM5	7.962856181784435e-08
CBX2	7.500940525752232e-08
YY1	7.225085548390134e-08
JUN	7.01974924233238e-08
ZNF740	6.973342196599384e-08
SFPQ	6.699824820536397e-08
NCOR1	6.350420717099288e-08
NRF1	5.777861492169451e-08
ZMYM3	4.574641840817632e-08
HNRNPH1	4.382660495212963e-08
CBX3	4.139515784211044e-08
CBFA2T2	3.762850785211931e-08
ZNF512	3.676541438948432e-08
MTA1	3.476639097568383e-08
NR3C1	2.8176784048462595e-08
RNF2	2.3006228862907844e-08
ZBTB33	2.2705072834789523e-08
RBM39	1.5038945626683066e-08
EGR1	1.4398638064722571e-08
POLR3A	1.1422608337781933e-08
MITF	1.1399363103514202e-08
ESRRA	6.193029958333215e-09
H3K4me2	5.570921869338434e-09
TEAD2	4.745980387970279e-09
GTF2B	3.684234220618961e-09
GTF2F1	1.8294249605437392e-09
FUS	1.7708577008780273e-09
