,A549,HepG2,K562,MCF7
HepG2-ZNF777,1,1,1,1
HepG2-ZNF778,1,1,1,1
HepG2-ZNF780A,1,1,1,1
HepG2-ZNF781,1,1,1,1
HepG2-ZNF782,1,1,1,1
HepG2-ZNF784,1,1,1,1
HepG2-ZNF786,1,1,1,1
HepG2-ZNF788,1,1,1,1
HepG2-ZNF790,1,1,1,1
HepG2-ZNF792,1,1,1,1
HepG2-ZNF800,1,1,1,1
HepG2-ZNF816,1,1,1,1
HepG2-ZNF827,1,1,1,1
HepG2-ZNF83,1,1,1,1
HepG2-ZNF839,1,1,1,1
HepG2-ZNF841,1,1,1,1
HepG2-ZNF850,1,1,1,1
HepG2-ZNF865,1,1,1,1
HepG2-ZNF878,1,1,1,1
HepG2-ZNF879,1,1,1,1
HepG2-ZNF883,1,1,1,1
HepG2-ZNF891,1,1,1,1
HepG2-ZSCAN12,1,1,1,1
HepG2-ZSCAN20,1,1,1,1
HepG2-ZSCAN21,1,1,1,1
HepG2-ZSCAN22,1,1,1,1
HepG2-ZSCAN25,1,1,1,1
HepG2-ZSCAN29,1,1,1,1
HepG2-ZSCAN30,1,1,1,1
HepG2-ZSCAN31,1,1,1,1
HepG2-ZSCAN5A,1,1,1,1
HepG2-ZSCAN9,1,1,1,1
HepG2-ZUFSP,1,1,1,1
HepG2-ZXDC,1,1,1,1
HepG2-ZZZ3,1,1,1,1
K562-ADNP,1,1,1,1
K562-AFF1,1,1,1,1
K562-AFF4,1,1,1,1
K562-AGO1,1,1,1,1
K562-ARHGAP35,1,1,1,1
K562-ARID1B,1,1,1,1
K562-ARID2,1,1,1,1
K562-ARID3A,1,1,1,1
K562-ARID3B,1,1,1,1
K562-ARID4B,1,1,1,1
K562-ARNT,1,1,1,1
K562-ASH1L,1,1,1,1
K562-ATF1,1,1,1,1
K562-ATF2,1,1,1,1
K562-ATF3,1,1,1,1
K562-ATF4,1,1,1,1
K562-ATF6,1,1,1,1
K562-ATF7,1,1,1,1
K562-BACH1,1,1,1,1
K562-BCL6,1,1,1,1
K562-BCLAF1,1,1,1,1
K562-BCOR,1,1,1,1
K562-BHLHE40,1,1,1,1
K562-BMI1,1,1,1,1
K562-BRD4,1,1,1,1
K562-BRD9,1,1,1,1
K562-C11orf30,1,1,1,1
K562-CAMTA2,1,1,1,1
K562-CBFA2T2,1,1,1,1
K562-CBFA2T3,1,1,1,1
K562-CBFB,1,1,1,1
K562-CBX1,1,1,1,1
K562-CBX3,1,1,1,1
K562-CBX5,1,1,1,1
K562-CC2D1A,1,1,1,1
K562-CCAR2,1,1,1,1
K562-CCNT2,1,1,1,1
K562-CDC5L,1,1,1,1
K562-CEBPB,1,1,1,1
K562-CEBPG,1,1,1,1
K562-CEBPZ,1,1,1,1
K562-CGGBP1,1,1,1,1
K562-CHAMP1,1,1,1,1
K562-CHCHD3,1,1,1,1
K562-CHD1,1,1,1,1
K562-CHD2,1,1,1,1
K562-CHD4,1,1,1,1
K562-CHD7,1,1,1,1
K562-CLOCK,1,1,1,1
K562-CREB1,1,1,1,1
K562-CREB3,1,1,1,1
K562-CREB3L1,1,1,1,1
K562-CREB5,1,1,1,1
K562-CREM,1,1,1,1
K562-CSDE1,1,1,1,1
K562-CTBP1,1,1,1,1
K562-CTCF,1,1,1,1
K562-CTCFL,1,1,1,1
K562-CUX1,1,1,1,1
K562-CXXC5,1,1,1,1
K562-DACH1,1,1,1,1
K562-DDIT3,1,1,1,1
K562-DDX20,1,1,1,1
K562-DEAF1,1,1,1,1
K562-DIDO1,1,1,1,1
K562-DLX4,1,1,1,1
K562-DMBX1,1,1,1,1
K562-DMTF1,1,1,1,1
K562-DNMT1,1,1,1,1
K562-DPF2,1,1,1,1
K562-E2F1,1,1,1,1
K562-E2F3,1,1,1,1
K562-E2F4,1,1,1,1
K562-E2F5,1,1,1,1
K562-E2F6,1,1,1,1
K562-E2F7,1,1,1,1
K562-E2F8,1,1,1,1
K562-E4F1,1,1,1,1
K562-EGR1,1,1,1,1
K562-EHMT2,1,1,1,1
K562-ELF1,1,1,1,1
K562-ELF2,1,1,1,1
K562-ELF4,1,1,1,1
K562-ELK1,1,1,1,1
K562-ELK3,1,1,1,1
K562-EP300,1,1,1,1
K562-EP400,1,1,1,1
K562-ERF,1,1,1,1
K562-ESRRA,1,1,1,1
K562-ESRRB,1,1,1,1
K562-ETS1,1,1,1,1
K562-ETS2,1,1,1,1
K562-ETV1,1,1,1,1
K562-ETV5,1,1,1,1
K562-ETV6,1,1,1,1
K562-EWSR1,1,1,1,1
K562-EZH2,1,1,1,1
K562-FIP1L1,1,1,1,1
K562-FOS,1,1,1,1
K562-FOSL1,1,1,1,1
K562-FOXA1,1,1,1,1
K562-FOXA3,1,1,1,1
K562-FOXJ2,1,1,1,1
K562-FOXJ3,1,1,1,1
K562-FOXK1,1,1,1,1
K562-FOXK2,1,1,1,1
K562-FOXM1,1,1,1,1
K562-FOXO4,1,1,1,1
K562-FOXP1,1,1,1,1
K562-FOXP4,1,1,1,1
K562-FUS,1,1,1,1
K562-GABPA,1,1,1,1
K562-GABPB1,1,1,1,1
K562-GABPB2,1,1,1,1
K562-GATA1,1,1,1,1
K562-GATA2,1,1,1,1
K562-GATAD2A,1,1,1,1
K562-GATAD2B,1,1,1,1
K562-GMEB1,1,1,1,1
K562-GTF2A2,1,1,1,1
K562-GTF2B,1,1,1,1
K562-GTF2E2,1,1,1,1
K562-GTF2F1,1,1,1,1
K562-GTF2I,1,1,1,1
K562-GTF3C2,1,1,1,1
K562-HBP1,1,1,1,1
K562-HCFC1,1,1,1,1
K562-HDAC1,1,1,1,1
K562-HDAC2,1,1,1,1
K562-HDAC3,1,1,1,1
K562-HDAC6,1,1,1,1
K562-HDAC8,1,1,1,1
K562-HDGF,1,1,1,1
K562-HES1,1,1,1,1
K562-HEY1,1,1,1,1
K562-HINFP,1,1,1,1
K562-HIVEP1,1,1,1,1
K562-HLTF,1,1,1,1
K562-HMBOX1,1,1,1,1
K562-HMG20A,1,1,1,1
K562-HMG20B,1,1,1,1
K562-HMGN3,1,1,1,1
K562-HMGXB4,1,1,1,1
K562-HNRNPK,1,1,1,1
K562-HNRNPL,1,1,1,1
K562-HNRNPLL,1,1,1,1
K562-HNRNPUL1,1,1,1,1
K562-HOMEZ,1,1,1,1
K562-HOXB6,1,1,1,1
K562-HSF4,1,1,1,1
K562-ID3,1,1,1,1
K562-IFI16,1,1,1,1
K562-IKZF1,1,1,1,1
K562-ILF3,1,1,1,1
K562-ILK,1,1,1,1
K562-IRF1,1,1,1,1
K562-IRF2,1,1,1,1
K562-IRF9,1,1,1,1
K562-JUN,1,1,1,1
K562-JUNB,1,1,1,1
K562-JUND,1,1,1,1
K562-KAT2B,1,1,1,1
K562-KAT7,1,1,1,1
K562-KAT8,1,1,1,1
K562-KDM1A,1,1,1,1
K562-KDM2B,1,1,1,1
K562-KDM5B,1,1,1,1
K562-KHSRP,1,1,1,1
K562-KLF1,1,1,1,1
K562-KLF10,1,1,1,1
K562-KLF13,1,1,1,1
K562-KLF16,1,1,1,1
K562-KLF6,1,1,1,1
K562-L3MBTL2,1,1,1,1
K562-LARP7,1,1,1,1
K562-LCOR,1,1,1,1
K562-LEF1,1,1,1,1
K562-MAFF,1,1,1,1
K562-MAFG,1,1,1,1
K562-MAFK,1,1,1,1
K562-MAX,1,1,1,1
K562-MAZ,1,1,1,1
K562-MBD1,1,1,1,1
K562-MBD2,1,1,1,1
K562-MCM2,1,1,1,1
K562-MCM3,1,1,1,1
K562-MCM7,1,1,1,1
K562-MECOM,1,1,1,1
K562-MED1,1,1,1,1
K562-MEF2A,1,1,1,1
K562-MEF2D,1,1,1,1
K562-MEIS2,1,1,1,1
K562-MGA,1,1,1,1
K562-MIER1,1,1,1,1
K562-MITF,1,1,1,1
K562-MLLT1,1,1,1,1
K562-MLX,1,1,1,1
K562-MNT,1,1,1,1
K562-MTA1,1,1,1,1
K562-MTA2,1,1,1,1
K562-MTA3,1,1,1,1
K562-MTF1,1,1,1,1
K562-MXD1,1,1,1,1
K562-MXI1,1,1,1,1
K562-MYBL2,1,1,1,1
K562-MYC,1,1,1,1
K562-MYNN,1,1,1,1
K562-NBN,1,1,1,1
K562-NCOA1,1,1,1,1
K562-NCOA2,1,1,1,1
K562-NCOA4,1,1,1,1
K562-NCOA6,1,1,1,1
K562-NCOR1,1,1,1,1
K562-NELFE,1,1,1,1
K562-NEUROD1,1,1,1,1
K562-NFATC3,1,1,1,1
K562-NFE2,1,1,1,1
K562-NFE2L1,1,1,1,1
K562-NFIC,1,1,1,1
K562-NFIX,1,1,1,1
K562-NFRKB,1,1,1,1
K562-NFXL1,1,1,1,1
K562-NFYA,1,1,1,1
K562-NFYB,1,1,1,1
K562-NKRF,1,1,1,1
K562-NONO,1,1,1,1
K562-NR1H2,1,1,1,1
K562-NR2C1,1,1,1,1
K562-NR2C2,1,1,1,1
K562-NR2F1,1,1,1,1
K562-NR2F2,1,1,1,1
K562-NR2F6,1,1,1,1
K562-NR3C1,1,1,1,1
K562-NR4A1,1,1,1,1
K562-NRF1,1,1,1,1
K562-NUFIP1,1,1,1,1
K562-OTX1,1,1,1,1
K562-PATZ1,1,1,1,1
K562-PBX2,1,1,1,1
K562-PCBP1,1,1,1,1
K562-PHB,1,1,1,1
K562-PHB2,1,1,1,1
K562-PHF20,1,1,1,1
K562-PHF21A,1,1,1,1
K562-PHF8,1,1,1,1
K562-PHTF2,1,1,1,1
K562-PKNOX1,1,1,1,1
K562-PML,1,1,1,1
K562-POLR2A,1,1,1,1
K562-POLR2AphosphoS2,1,1,1,1
K562-POLR2AphosphoS5,1,1,1,1
K562-POLR2B,1,1,1,1
K562-POLR2G,1,1,1,1
K562-POLR2H,1,1,1,1
K562-POLR3A,1,1,1,1
K562-POU5F1,1,1,1,1
K562-PPARD,1,1,1,1
K562-PRDM10,1,1,1,1
K562-PREB,1,1,1,1
K562-PRMT5,1,1,1,1
K562-PRPF4,1,1,1,1
K562-PTBP1,1,1,1,1
K562-PTRF,1,1,1,1
K562-PTTG1,1,1,1,1
K562-PYGO2,1,1,1,1
K562-RAD21,1,1,1,1
K562-RAD51,1,1,1,1
K562-RB1,1,1,1,1
K562-RBBP5,1,1,1,1
K562-RBFOX2,1,1,1,1
K562-RBM14,1,1,1,1
K562-RBM22,1,1,1,1
K562-RBM25,1,1,1,1
K562-RBM39,1,1,1,1
K562-RBPJ,1,1,1,1
K562-RCOR1,1,1,1,1
K562-RELA,1,1,1,1
K562-RERE,1,1,1,1
K562-REST,1,1,1,1
K562-RFX1,1,1,1,1
K562-RFX5,1,1,1,1
K562-RFX7,1,1,1,1
K562-RHOXF2B,1,1,1,1
K562-RLF,1,1,1,1
K562-RNF2,1,1,1,1
K562-RNF219,1,1,1,1
K562-RREB1,1,1,1,1
K562-RUNX1,1,1,1,1
K562-SAFB,1,1,1,1
K562-SAP30,1,1,1,1
K562-SETDB1,1,1,1,1
K562-SIN3A,1,1,1,1
K562-SIN3B,1,1,1,1
K562-SIRT6,1,1,1,1
K562-SIX5,1,1,1,1
K562-SKIL,1,1,1,1
K562-SLC30A9,1,1,1,1
K562-SMAD1,1,1,1,1
K562-SMAD3,1,1,1,1
K562-SMAD4,1,1,1,1
K562-SMAD5,1,1,1,1
K562-SMARCA4,1,1,1,1
K562-SMARCA5,1,1,1,1
K562-SMARCB1,1,1,1,1
K562-SMARCC2,1,1,1,1
K562-SMARCE1,1,1,1,1
K562-SMC3,1,1,1,1
K562-SNAPC5,1,1,1,1
K562-SNIP1,1,1,1,1
K562-SNRNP70,1,1,1,1
K562-SOX6,1,1,1,1
K562-SP1,1,1,1,1
K562-SP2,1,1,1,1
K562-SPI1,1,1,1,1
K562-SREBF1,1,1,1,1
K562-SREBF2,1,1,1,1
K562-SRF,1,1,1,1
K562-SRSF1,1,1,1,1
K562-SRSF3,1,1,1,1
K562-STAG1,1,1,1,1
K562-STAT1,1,1,1,1
K562-STAT2,1,1,1,1
K562-STAT5A,1,1,1,1
K562-STAT5B,1,1,1,1
K562-STAT6,1,1,1,1
K562-SUPT5H,1,1,1,1
K562-SUZ12,1,1,1,1
K562-TAF1,1,1,1,1
K562-TAF15,1,1,1,1
K562-TAF7,1,1,1,1
K562-TAF9B,1,1,1,1
K562-TAL1,1,1,1,1
K562-TARDBP,1,1,1,1
K562-TBL1XR1,1,1,1,1
K562-TBP,1,1,1,1
K562-TBPL1,1,1,1,1
K562-TBX18,1,1,1,1
K562-TCF12,1,1,1,1
K562-TCF15,1,1,1,1
K562-TCF3,1,1,1,1
K562-TCF7,1,1,1,1
K562-TCF7L2,1,1,1,1
K562-TCFL5,1,1,1,1
K562-TEAD1,1,1,1,1
K562-TEAD2,1,1,1,1
K562-TEAD4,1,1,1,1
K562-TFAP4,1,1,1,1
K562-TFCP2,1,1,1,1
K562-TFDP1,1,1,1,1
K562-TFE3,1,1,1,1
K562-TGIF2,1,1,1,1
K562-THAP1,1,1,1,1
K562-THAP12,1,1,1,1
K562-THAP7,1,1,1,1
K562-THRA,1,1,1,1
K562-THRAP3,1,1,1,1
K562-THRB,1,1,1,1
K562-TOE1,1,1,1,1
K562-TRIM24,1,1,1,1
K562-TRIM25,1,1,1,1
K562-TRIM28,1,1,1,1
K562-TRIP13,1,1,1,1
K562-TSC22D4,1,1,1,1
K562-TSHZ1,1,1,1,1
K562-U2AF1,1,1,1,1
K562-UBTF,1,1,1,1
K562-USF1,1,1,1,1
K562-USF2,1,1,1,1
K562-VEZF1,1,1,1,1
K562-WHSC1,1,1,1,1
K562-XRCC5,1,1,1,1
K562-YBX1,1,1,1,1
K562-YBX3,1,1,1,1
K562-YY1,1,1,1,1
K562-ZBED1,1,1,1,1
K562-ZBTB1,1,1,1,1
K562-ZBTB11,1,1,1,1
K562-ZBTB12,1,1,1,1
K562-ZBTB17,1,1,1,1
K562-ZBTB2,1,1,1,1
K562-ZBTB26,1,1,1,1
K562-ZBTB33,1,1,1,1
K562-ZBTB34,1,1,1,1
K562-ZBTB40,1,1,1,1
K562-ZBTB43,1,1,1,1
K562-ZBTB49,1,1,1,1
K562-ZBTB5,1,1,1,1
K562-ZBTB7A,1,1,1,1
K562-ZBTB8A,1,1,1,1
K562-ZBTB9,1,1,1,1
K562-ZC3H11A,1,1,1,1
K562-ZC3H4,1,1,1,1
K562-ZC3H8,1,1,1,1
K562-ZEB2,1,1,1,1
K562-ZFP1,1,1,1,1
K562-ZFP30,1,1,1,1
K562-ZFP36,1,1,1,1
K562-ZFP91,1,1,1,1
K562-ZFPM2,1,1,1,1
K562-ZFX,1,1,1,1
K562-ZHX1,1,1,1,1
K562-ZKSCAN1,1,1,1,1
K562-ZKSCAN3,1,1,1,1
K562-ZKSCAN8,1,1,1,1
K562-ZMIZ1,1,1,1,1
K562-ZMYM3,1,1,1,1
K562-ZNF12,1,1,1,1
K562-ZNF121,1,1,1,1
K562-ZNF124,1,1,1,1
K562-ZNF133,1,1,1,1
K562-ZNF134,1,1,1,1
K562-ZNF140,1,1,1,1
K562-ZNF143,1,1,1,1
K562-ZNF148,1,1,1,1
K562-ZNF165,1,1,1,1
K562-ZNF174,1,1,1,1
K562-ZNF175,1,1,1,1
K562-ZNF184,1,1,1,1
K562-ZNF197,1,1,1,1
K562-ZNF212,1,1,1,1
K562-ZNF215,1,1,1,1
K562-ZNF217,1,1,1,1
K562-ZNF224,1,1,1,1
K562-ZNF23,1,1,1,1
K562-ZNF232,1,1,1,1
K562-ZNF239,1,1,1,1
K562-ZNF24,1,1,1,1
K562-ZNF253,1,1,1,1
K562-ZNF257,1,1,1,1
K562-ZNF263,1,1,1,1
K562-ZNF274,1,1,1,1
K562-ZNF280A,1,1,1,1
K562-ZNF280B,1,1,1,1
K562-ZNF281,1,1,1,1
K562-ZNF282,1,1,1,1
K562-ZNF3,1,1,1,1
K562-ZNF311,1,1,1,1
K562-ZNF316,1,1,1,1
K562-ZNF317,1,1,1,1
K562-ZNF318,1,1,1,1
K562-ZNF319,1,1,1,1
K562-ZNF324,1,1,1,1
K562-ZNF347,1,1,1,1
K562-ZNF354B,1,1,1,1
K562-ZNF354C,1,1,1,1
K562-ZNF384,1,1,1,1
K562-ZNF395,1,1,1,1
K562-ZNF397,1,1,1,1
K562-ZNF398,1,1,1,1
K562-ZNF407,1,1,1,1
K562-ZNF41,1,1,1,1
K562-ZNF431,1,1,1,1
K562-ZNF436,1,1,1,1
K562-ZNF444,1,1,1,1
K562-ZNF445,1,1,1,1
K562-ZNF449,1,1,1,1
K562-ZNF511,1,1,1,1
K562-ZNF512,1,1,1,1
K562-ZNF518B,1,1,1,1
K562-ZNF551,1,1,1,1
K562-ZNF561,1,1,1,1
K562-ZNF57,1,1,1,1
K562-ZNF583,1,1,1,1
K562-ZNF584,1,1,1,1
K562-ZNF586,1,1,1,1
K562-ZNF589,1,1,1,1
K562-ZNF592,1,1,1,1
K562-ZNF609,1,1,1,1
K562-ZNF639,1,1,1,1
K562-ZNF644,1,1,1,1
K562-ZNF655,1,1,1,1
K562-ZNF668,1,1,1,1
K562-ZNF695,1,1,1,1
K562-ZNF696,1,1,1,1
K562-ZNF699,1,1,1,1
K562-ZNF7,1,1,1,1
K562-ZNF700,1,1,1,1
K562-ZNF707,1,1,1,1
K562-ZNF717,1,1,1,1
K562-ZNF740,1,1,1,1
K562-ZNF75A,1,1,1,1
K562-ZNF76,1,1,1,1
K562-ZNF764,1,1,1,1
K562-ZNF766,1,1,1,1
K562-ZNF77,1,1,1,1
K562-ZNF778,1,1,1,1
K562-ZNF780A,1,1,1,1
K562-ZNF785,1,1,1,1
K562-ZNF79,1,1,1,1
K562-ZNF83,1,1,1,1
K562-ZNF830,1,1,1,1
K562-ZNF84,1,1,1,1
K562-ZSCAN29,1,1,1,1
K562-ZSCAN32,1,1,1,1
K562-ZZZ3,1,1,1,1
MCF-7-ARID3A,1,1,1,1
MCF-7-ATF7,1,1,1,1
MCF-7-BMI1,1,1,1,1
MCF-7-BRCA2,1,1,1,1
MCF-7-CEBPB,1,1,1,1
MCF-7-CEBPG,1,1,1,1
MCF-7-CHD1,1,1,1,1
MCF-7-CLOCK,1,1,1,1
MCF-7-CREB1,1,1,1,1
MCF-7-CTBP1,1,1,1,1
MCF-7-CTCF,1,1,1,1
MCF-7-CUX1,1,1,1,1
MCF-7-DDX20,1,1,1,1
MCF-7-DPF2,1,1,1,1
MCF-7-E2F1,1,1,1,1
MCF-7-E2F4,1,1,1,1
MCF-7-E2F8,1,1,1,1
MCF-7-E4F1,1,1,1,1
MCF-7-EGR1,1,1,1,1
MCF-7-ELF1,1,1,1,1
MCF-7-ELK1,1,1,1,1
MCF-7-EP300,1,1,1,1
MCF-7-ESR1,1,1,1,1
MCF-7-ESRRA,1,1,1,1
MCF-7-FOS,1,1,1,1
MCF-7-FOSL2,1,1,1,1
MCF-7-FOXA1,1,1,1,1
MCF-7-FOXK2,1,1,1,1
MCF-7-FOXM1,1,1,1,1
MCF-7-GABPA,1,1,1,1
MCF-7-GATA3,1,1,1,1
MCF-7-GATAD2B,1,1,1,1
MCF-7-GTF2F1,1,1,1,1
MCF-7-HCFC1,1,1,1,1
MCF-7-HDAC2,1,1,1,1
MCF-7-HDGF,1,1,1,1
MCF-7-HES1,1,1,1,1
MCF-7-HSF1,1,1,1,1
MCF-7-JUN,1,1,1,1
MCF-7-JUND,1,1,1,1
MCF-7-KLF4,1,1,1,1
MCF-7-KLF9,1,1,1,1
MCF-7-MAFK,1,1,1,1
MCF-7-MAX,1,1,1,1
MCF-7-MAZ,1,1,1,1
MCF-7-MBD2,1,1,1,1
MCF-7-MLLT1,1,1,1,1
MCF-7-MSX2,1,1,1,1
MCF-7-MTA1,1,1,1,1
MCF-7-MTA2,1,1,1,1
MCF-7-MTA3,1,1,1,1
MCF-7-MYC,1,1,1,1
MCF-7-NBN,1,1,1,1
MCF-7-NCOA3,1,1,1,1
MCF-7-NEUROD1,1,1,1,1
MCF-7-NFIB,1,1,1,1
MCF-7-NFXL1,1,1,1,1
MCF-7-NONO,1,1,1,1
MCF-7-NR2F2,1,1,1,1
MCF-7-NRF1,1,1,1,1
MCF-7-OTX1,1,1,1,1
MCF-7-OVOL1,1,1,1,1
MCF-7-PAX8,1,1,1,1
MCF-7-PKNOX1,1,1,1,1
MCF-7-PML,1,1,1,1
MCF-7-POLR2A,1,1,1,1
MCF-7-PPP1R10,1,1,1,1
MCF-7-RAD21,1,1,1,1
MCF-7-RAD51,1,1,1,1
MCF-7-RCOR1,1,1,1,1
MCF-7-REST,1,1,1,1
MCF-7-RFX1,1,1,1,1
MCF-7-RFX5,1,1,1,1
MCF-7-SIN3A,1,1,1,1
MCF-7-SIX4,1,1,1,1
MCF-7-SMARCA5,1,1,1,1
MCF-7-SMARCE1,1,1,1,1
MCF-7-SNIP1,1,1,1,1
MCF-7-SP1,1,1,1,1
MCF-7-SPDEF,1,1,1,1
MCF-7-SREBF1,1,1,1,1
MCF-7-SRF,1,1,1,1
MCF-7-SUZ12,1,1,1,1
MCF-7-TAF1,1,1,1,1
MCF-7-TARDBP,1,1,1,1
MCF-7-TCF12,1,1,1,1
MCF-7-TCF7L2,1,1,1,1
MCF-7-TEAD4,1,1,1,1
MCF-7-TOE1,1,1,1,1
MCF-7-TRIM22,1,1,1,1
MCF-7-TSC22D1,1,1,1,1
MCF-7-TSC22D2,1,1,1,1
MCF-7-ZBTB1,1,1,1,1
MCF-7-ZBTB11,1,1,1,1
MCF-7-ZBTB33,1,1,1,1
MCF-7-ZBTB40,1,1,1,1
MCF-7-ZBTB7B,1,1,1,1
MCF-7-ZFX,1,1,1,1
MCF-7-ZHX2,1,1,1,1
MCF-7-ZKSCAN1,1,1,1,1
MCF-7-ZNF207,1,1,1,1
MCF-7-ZNF217,1,1,1,1
MCF-7-ZNF227,1,1,1,1
MCF-7-ZNF24,1,1,1,1
MCF-7-ZNF331,1,1,1,1
MCF-7-ZNF444,1,1,1,1
MCF-7-ZNF507,1,1,1,1
MCF-7-ZNF512B,1,1,1,1
MCF-7-ZNF574,1,1,1,1
MCF-7-ZNF579,1,1,1,1
MCF-7-ZNF592,1,1,1,1
MCF-7-ZNF687,1,1,1,1
MCF-7-ZNF8,1,1,1,1
HepG2-PPARGC1A,1,1,0,1
A549-CBX2,1,0,1,1
A549-SREBF2,1,0,1,1
A549-ZC3H11A,1,0,1,1
HepG2-EZH2,1,0,1,1
HepG2-TRIM22,1,0,1,1
K562-BDP1,1,0,1,1
K562-BRF1,1,0,1,1
K562-HNRNPH1,1,0,1,1
K562-KDM4B,1,0,1,1
K562-PCBP2,1,0,1,1
K562-POLR3G,1,0,1,1
K562-PURB,1,0,1,1
K562-RBM15,1,0,1,1
K562-RBM17,1,0,1,1
K562-RBM34,1,0,1,1
K562-SFPQ,1,0,1,1
K562-SMAD2,1,0,1,1
K562-SRSF7,1,0,1,1
K562-XRCC3,1,0,1,1
K562-ZNF146,1,0,1,1
K562-ZNF277,1,0,1,1
K562-ZNF408,1,0,1,1
MCF-7-CSDE1,1,0,1,1
MCF-7-YBX1,1,0,1,1
HepG2-SCMH1,1,1,0,0
K562-BRF2,1,0,1,0
K562-CREBBP,1,0,1,0
K562-MCM5,1,0,1,0
K562-NR0B1,0,0,1,1
K562-XRCC4,0,0,1,1
HepG2-IKZF1,0,1,0,0
K562-ZNF507,0,0,1,0
MCF-7-COPS2,0,0,0,1
MCF-7-LARP7,0,0,0,1
MCF-7-NFRKB,0,0,0,1
