,A549,HepG2,K562,MCF7
HepG2-FOSL1,1,1,1,1
HepG2-FOSL2,1,1,1,1
HepG2-FOXA1,1,1,1,1
HepG2-FOXA2,1,1,1,1
HepG2-FOXA3,1,1,1,1
HepG2-FOXC1,1,1,1,1
HepG2-FOXJ3,1,1,1,1
HepG2-FOXK1,1,1,1,1
HepG2-FOXK2,1,1,1,1
HepG2-FOXM1,1,1,1,1
HepG2-FOXO1,1,1,1,1
HepG2-FOXO4,1,1,1,1
HepG2-FOXP1,1,1,1,1
HepG2-FOXP4,1,1,1,1
HepG2-FOXQ1,1,1,1,1
HepG2-FUBP1,1,1,1,1
HepG2-FUBP3,1,1,1,1
HepG2-FUS,1,1,1,1
HepG2-GABPA,1,1,1,1
HepG2-GABPB1,1,1,1,1
HepG2-GATA2,1,1,1,1
HepG2-GATA4,1,1,1,1
HepG2-GATAD1,1,1,1,1
HepG2-GATAD2A,1,1,1,1
HepG2-GATAD2B,1,1,1,1
HepG2-GFI1,1,1,1,1
HepG2-GLI4,1,1,1,1
HepG2-GLMP,1,1,1,1
HepG2-GLYR1,1,1,1,1
HepG2-GMEB1,1,1,1,1
HepG2-GMEB2,1,1,1,1
HepG2-GPN1,1,1,1,1
HepG2-GRHL1,1,1,1,1
HepG2-GTF2F1,1,1,1,1
HepG2-GTF3A,1,1,1,1
HepG2-GZF1,1,1,1,1
HepG2-HBP1,1,1,1,1
HepG2-HCFC1,1,1,1,1
HepG2-HDAC1,1,1,1,1
HepG2-HDAC2,1,1,1,1
HepG2-HDAC6,1,1,1,1
HepG2-HES4,1,1,1,1
HepG2-HHEX,1,1,1,1
HepG2-HIC2,1,1,1,1
HepG2-HINFP,1,1,1,1
HepG2-HIVEP1,1,1,1,1
HepG2-HLF,1,1,1,1
HepG2-HMG20A,1,1,1,1
HepG2-HMG20B,1,1,1,1
HepG2-HMGA1,1,1,1,1
HepG2-HMGXB3,1,1,1,1
HepG2-HMGXB4,1,1,1,1
HepG2-HNF1A,1,1,1,1
HepG2-HNF1B,1,1,1,1
HepG2-HNF4A,1,1,1,1
HepG2-HNF4G,1,1,1,1
HepG2-HNRNPH1,1,1,1,1
HepG2-HNRNPK,1,1,1,1
HepG2-HNRNPL,1,1,1,1
HepG2-HNRNPLL,1,1,1,1
HepG2-HNRNPUL1,1,1,1,1
HepG2-HOMEZ,1,1,1,1
HepG2-HOXA10,1,1,1,1
HepG2-HOXA3,1,1,1,1
HepG2-HOXA5,1,1,1,1
HepG2-HOXA7,1,1,1,1
HepG2-HOXA9,1,1,1,1
HepG2-HOXD1,1,1,1,1
HepG2-HSF1,1,1,1,1
HepG2-HSF2,1,1,1,1
HepG2-IKZF4,1,1,1,1
HepG2-IKZF5,1,1,1,1
HepG2-IRF1,1,1,1,1
HepG2-IRF2,1,1,1,1
HepG2-IRF3,1,1,1,1
HepG2-IRF5,1,1,1,1
HepG2-IRF9,1,1,1,1
HepG2-IRX3,1,1,1,1
HepG2-ISL2,1,1,1,1
HepG2-ISX,1,1,1,1
HepG2-JARID2,1,1,1,1
HepG2-JDP2,1,1,1,1
HepG2-JRK,1,1,1,1
HepG2-JUN,1,1,1,1
HepG2-JUNB,1,1,1,1
HepG2-JUND,1,1,1,1
HepG2-KAT2B,1,1,1,1
HepG2-KAT7,1,1,1,1
HepG2-KAT8,1,1,1,1
HepG2-KDM1A,1,1,1,1
HepG2-KDM2A,1,1,1,1
HepG2-KDM3A,1,1,1,1
HepG2-KDM4B,1,1,1,1
HepG2-KDM5A,1,1,1,1
HepG2-KDM5B,1,1,1,1
HepG2-KDM6A,1,1,1,1
HepG2-KIAA2018,1,1,1,1
HepG2-KLF11,1,1,1,1
HepG2-KLF12,1,1,1,1
HepG2-KLF13,1,1,1,1
HepG2-KLF15,1,1,1,1
HepG2-KLF16,1,1,1,1
HepG2-KLF6,1,1,1,1
HepG2-KLF9,1,1,1,1
HepG2-KMT2A,1,1,1,1
HepG2-KMT2B,1,1,1,1
HepG2-LBX2,1,1,1,1
HepG2-LCOR,1,1,1,1
HepG2-LCORL,1,1,1,1
HepG2-LIN54,1,1,1,1
HepG2-LRRFIP1,1,1,1,1
HepG2-MAF1,1,1,1,1
HepG2-MAFF,1,1,1,1
HepG2-MAFG,1,1,1,1
HepG2-MAFK,1,1,1,1
HepG2-MATR3,1,1,1,1
HepG2-MAX,1,1,1,1
HepG2-MAZ,1,1,1,1
HepG2-MBD1,1,1,1,1
HepG2-MBD4,1,1,1,1
HepG2-MBNL3,1,1,1,1
HepG2-MED1,1,1,1,1
HepG2-MED13,1,1,1,1
HepG2-MED8,1,1,1,1
HepG2-MEF2A,1,1,1,1
HepG2-MEF2D,1,1,1,1
HepG2-MEIS1,1,1,1,1
HepG2-MEIS2,1,1,1,1
HepG2-MGA,1,1,1,1
HepG2-MIER2,1,1,1,1
HepG2-MIER3,1,1,1,1
HepG2-MIXL1,1,1,1,1
HepG2-MLLT10,1,1,1,1
HepG2-MLX,1,1,1,1
HepG2-MLXIP,1,1,1,1
HepG2-MNT,1,1,1,1
HepG2-MNX1,1,1,1,1
HepG2-MTA1,1,1,1,1
HepG2-MTA3,1,1,1,1
HepG2-MTERF2,1,1,1,1
HepG2-MTERF4,1,1,1,1
HepG2-MTF1,1,1,1,1
HepG2-MTF2,1,1,1,1
HepG2-MXD1,1,1,1,1
HepG2-MXD3,1,1,1,1
HepG2-MXD4,1,1,1,1
HepG2-MXI1,1,1,1,1
HepG2-MYBL2,1,1,1,1
HepG2-MYC,1,1,1,1
HepG2-MYNN,1,1,1,1
HepG2-MYPOP,1,1,1,1
HepG2-MYRF,1,1,1,1
HepG2-MZF1,1,1,1,1
HepG2-NACC2,1,1,1,1
HepG2-NAIF1,1,1,1,1
HepG2-NBN,1,1,1,1
HepG2-NCOA1,1,1,1,1
HepG2-NCOA2,1,1,1,1
HepG2-NCOA5,1,1,1,1
HepG2-NCOR1,1,1,1,1
HepG2-NFAT5,1,1,1,1
HepG2-NFATC3,1,1,1,1
HepG2-NFE2,1,1,1,1
HepG2-NFE2L1,1,1,1,1
HepG2-NFE2L2,1,1,1,1
HepG2-NFIA,1,1,1,1
HepG2-NFIB,1,1,1,1
HepG2-NFIC,1,1,1,1
HepG2-NFIL3,1,1,1,1
HepG2-NFKB2,1,1,1,1
HepG2-NFKBIZ,1,1,1,1
HepG2-NFRKB,1,1,1,1
HepG2-NFYA,1,1,1,1
HepG2-NFYB,1,1,1,1
HepG2-NFYC,1,1,1,1
HepG2-NKX3-1,1,1,1,1
HepG2-NONO,1,1,1,1
HepG2-NPAS2,1,1,1,1
HepG2-NR0B2,1,1,1,1
HepG2-NR1H2,1,1,1,1
HepG2-NR2C2,1,1,1,1
HepG2-NR2F1,1,1,1,1
HepG2-NR2F2,1,1,1,1
HepG2-NR2F6,1,1,1,1
HepG2-NR3C1,1,1,1,1
HepG2-NR5A1,1,1,1,1
HepG2-NRF1,1,1,1,1
HepG2-NRL,1,1,1,1
HepG2-ONECUT1,1,1,1,1
HepG2-ONECUT2,1,1,1,1
HepG2-PAF1,1,1,1,1
HepG2-PATZ1,1,1,1,1
HepG2-PAWR,1,1,1,1
HepG2-PAX8,1,1,1,1
HepG2-PAXIP1,1,1,1,1
HepG2-PBX2,1,1,1,1
HepG2-PBX3,1,1,1,1
HepG2-PCBP1,1,1,1,1
HepG2-PCBP2,1,1,1,1
HepG2-PHF20,1,1,1,1
HepG2-PHF21A,1,1,1,1
HepG2-PHF5A,1,1,1,1
HepG2-PHF8,1,1,1,1
HepG2-PIN1,1,1,1,1
HepG2-PITX1,1,1,1,1
HepG2-PLSCR1,1,1,1,1
HepG2-POGK,1,1,1,1
HepG2-POGZ,1,1,1,1
HepG2-POLR2A,1,1,1,1
HepG2-POLR2AphosphoS2,1,1,1,1
HepG2-POLR2AphosphoS5,1,1,1,1
HepG2-POLR2G,1,1,1,1
HepG2-POU2F1,1,1,1,1
HepG2-PPARG,1,1,1,1
HepG2-PRDM10,1,1,1,1
HepG2-PRDM15,1,1,1,1
HepG2-PRDM4,1,1,1,1
HepG2-PREB,1,1,1,1
HepG2-PRMT3,1,1,1,1
HepG2-PROX1,1,1,1,1
HepG2-PRPF4,1,1,1,1
HepG2-PTBP1,1,1,1,1
HepG2-RAD21,1,1,1,1
HepG2-RAD51,1,1,1,1
HepG2-RARA,1,1,1,1
HepG2-RARG,1,1,1,1
HepG2-RBAK,1,1,1,1
HepG2-RBFOX2,1,1,1,1
HepG2-RBM22,1,1,1,1
HepG2-RBM39,1,1,1,1
HepG2-RBPJ,1,1,1,1
HepG2-RCOR1,1,1,1,1
HepG2-RCOR2,1,1,1,1
HepG2-REL,1,1,1,1
HepG2-RELA,1,1,1,1
HepG2-REPIN1,1,1,1,1
HepG2-RERE,1,1,1,1
HepG2-REST,1,1,1,1
HepG2-REXO4,1,1,1,1
HepG2-RFX1,1,1,1,1
HepG2-RFX3,1,1,1,1
HepG2-RFX5,1,1,1,1
HepG2-RFXANK,1,1,1,1
HepG2-RFXAP,1,1,1,1
HepG2-RNF2,1,1,1,1
HepG2-RNF219,1,1,1,1
HepG2-RORA,1,1,1,1
HepG2-RREB1,1,1,1,1
HepG2-RXRA,1,1,1,1
HepG2-RXRB,1,1,1,1
HepG2-SAFB2,1,1,1,1
HepG2-SALL1,1,1,1,1
HepG2-SALL2,1,1,1,1
HepG2-SAP130,1,1,1,1
HepG2-SATB2,1,1,1,1
HepG2-SETDB1,1,1,1,1
HepG2-SFPQ,1,1,1,1
HepG2-SIN3A,1,1,1,1
HepG2-SIN3B,1,1,1,1
HepG2-SIX1,1,1,1,1
HepG2-SIX4,1,1,1,1
HepG2-SKI,1,1,1,1
HepG2-SKIL,1,1,1,1
HepG2-SMAD1,1,1,1,1
HepG2-SMAD3,1,1,1,1
HepG2-SMAD4,1,1,1,1
HepG2-SMAD7,1,1,1,1
HepG2-SMAD9,1,1,1,1
HepG2-SMARCC2,1,1,1,1
HepG2-SMARCE1,1,1,1,1
HepG2-SMC3,1,1,1,1
HepG2-SMYD3,1,1,1,1
HepG2-SNAI1,1,1,1,1
HepG2-SNAPC2,1,1,1,1
HepG2-SNAPC4,1,1,1,1
HepG2-SNAPC5,1,1,1,1
HepG2-SNRNP70,1,1,1,1
HepG2-SOX13,1,1,1,1
HepG2-SOX18,1,1,1,1
HepG2-SOX5,1,1,1,1
HepG2-SOX6,1,1,1,1
HepG2-SP1,1,1,1,1
HepG2-SP110,1,1,1,1
HepG2-SP140L,1,1,1,1
HepG2-SP2,1,1,1,1
HepG2-SP4,1,1,1,1
HepG2-SP5,1,1,1,1
HepG2-SPEN,1,1,1,1
HepG2-SREBF1,1,1,1,1
HepG2-SREBF2,1,1,1,1
HepG2-SRF,1,1,1,1
HepG2-SRSF1,1,1,1,1
HepG2-SRSF4,1,1,1,1
HepG2-SRY,1,1,1,1
HepG2-SSRP1,1,1,1,1
HepG2-STAG1,1,1,1,1
HepG2-STAT5B,1,1,1,1
HepG2-STAT6,1,1,1,1
HepG2-SUZ12,1,1,1,1
HepG2-TAF1,1,1,1,1
HepG2-TAF15,1,1,1,1
HepG2-TARDBP,1,1,1,1
HepG2-TBL1XR1,1,1,1,1
HepG2-TBP,1,1,1,1
HepG2-TBX2,1,1,1,1
HepG2-TBX3,1,1,1,1
HepG2-TCF12,1,1,1,1
HepG2-TCF3,1,1,1,1
HepG2-TCF7,1,1,1,1
HepG2-TCF7L2,1,1,1,1
HepG2-TEAD1,1,1,1,1
HepG2-TEAD2,1,1,1,1
HepG2-TEAD3,1,1,1,1
HepG2-TEAD4,1,1,1,1
HepG2-TEF,1,1,1,1
HepG2-TERF1,1,1,1,1
HepG2-TFAP4,1,1,1,1
HepG2-TFDP1,1,1,1,1
HepG2-TFDP2,1,1,1,1
HepG2-TFE3,1,1,1,1
HepG2-TGIF2,1,1,1,1
HepG2-THAP11,1,1,1,1
HepG2-THAP4,1,1,1,1
HepG2-THAP7,1,1,1,1
HepG2-THAP8,1,1,1,1
HepG2-THAP9,1,1,1,1
HepG2-THRA,1,1,1,1
HepG2-THRB,1,1,1,1
HepG2-THYN1,1,1,1,1
HepG2-TIGD3,1,1,1,1
HepG2-TIGD6,1,1,1,1
HepG2-TMF1,1,1,1,1
HepG2-TOE1,1,1,1,1
HepG2-TOPORS,1,1,1,1
HepG2-TP53,1,1,1,1
HepG2-TRAFD1,1,1,1,1
HepG2-TRIM24,1,1,1,1
