H3K27ac	1.1651795685873259
RBM17	0.9044771148255287
ATF7	0.6717984586583239
NR4A1	0.49389026140622355
ZNF384	0.34190657903189187
HLTF	0.22504580072814906
H3K4me1	0.17465684831453818
SIX5	0.14696442999333326
KAT8	0.1221126023876777
ARHGAP35	0.08210991700472263
BCLAF1	0.06541649029485015
NONO	0.05377216621958128
MYC	0.04126043989830318
TAF1	0.022282211985733515
ZNF512	0.013679305530512298
CREB3L1	0.004699996872080153
CTBP1	0.0007956463489423717
ZBTB11	0.000742447581954399
WHSC1	0.00045589581478954345
CTCF	0.0004021265966271014
HDAC6	0.0003757609266792182
ZNF318	0.0002852194223350411
CEBPB	0.00024310055510455548
SMAD1	0.00023300451996881134
H3K4me2	0.00020423331141830012
MNT	0.0001867012249009696
ZNF175	0.00018533247935821067
EHMT2	0.00016888445002372136
H2AFZ	0.00014768497054719985
E4F1	0.00013889069520070532
JUND	0.00013483655231879941
ATF4	0.00013120501127562487
ZNF184	0.00011187823528521521
PHB2	0.00010280739277905107
FOXK2	0.00010146209377876166
ZNF197	0.00010010950943752502
DPF2	9.859757266040142e-05
NR2C2	9.763896894831671e-05
RBFOX2	9.490216928403076e-05
IRF1	9.139076781893123e-05
NFRKB	9.078977991922446e-05
GABPA	9.060225717185096e-05
ZNF584	8.674488658632007e-05
XRCC4	8.510514849202839e-05
IRF2	8.479018210327447e-05
E2F8	8.203894244534257e-05
ELF4	7.018514356120751e-05
ELF1	6.49579761246721e-05
SMC3	6.470545879667117e-05
MITF	6.436570207952703e-05
RBM39	6.309460610891257e-05
ZNF280A	6.203775015650934e-05
GABPB1	6.147833502112271e-05
ZNF282	5.310823080254092e-05
CBX3	4.9875392954315604e-05
JUNB	4.9362285732389015e-05
TEAD4	4.846267955438528e-05
HCFC1	4.650262288223241e-05
ZNF740	4.586836380746777e-05
HNRNPLL	4.490907310811283e-05
AFF1	4.4878859884564465e-05
ZKSCAN8	4.420709329716073e-05
YY1	4.312314713576719e-05
POLR2H	4.224784318017297e-05
ZEB2	4.0378824169084174e-05
FIP1L1	3.951127011076572e-05
MAFG	3.8766562874805374e-05
ZNF83	3.871623108464052e-05
ZNF644	3.8019851918103116e-05
MAFK	3.789901436249543e-05
FOXJ2	3.7640918369370485e-05
ASH1L	3.7156218764398335e-05
ZNF589	3.6445612417751874e-05
ZNF395	3.5151581537995225e-05
PHF21A	3.485037109549929e-05
