	model1_A549_1	model1_A549_2	model1_K562_1	model1_K562_2	model1_HepG2_1	model1_HepG2_2	model1_MCF7_1	model1_MCF7_2	model2_A549_1	model2_A549_2	model2_K562_1	model2_K562_2	model2_HepG2_1	model2_HepG2_2	model2_MCF7_1	model2_MCF7_2	model3_A549_1	model3_A549_2	model3_K562_1	model3_K562_2	model3_HepG2_1	model3_HepG2_2	model3_MCF7_1	model3_MCF7_2	model4_A549_1	model4_A549_2	model4_K562_1	model4_K562_2	model4_HepG2_1	model4_HepG2_2	model4_MCF7_1	model4_MCF7_2	model5_A549_1	model5_A549_2	model5_K562_1	model5_K562_2	model5_HepG2_1	model5_HepG2_2	model5_MCF7_1	model5_MCF7_2	model6_A549_1	model6_A549_2	model6_K562_1	model6_K562_2	model6_HepG2_1	model6_HepG2_2	model6_MCF7_1	model6_MCF7_2
model2_K562_1	0.33969867876133414	0.3995932564486818	0.9584802713352505	0.8817596502803287	0.4504476753806606	0.44732222441038105	0.3818680710579904	0.4018085382222575	0.31188956503455173	0.3567622974809239	1.0	0.8611975615756424	0.44496684380320356	0.4524161767900668	0.3767100260894793	0.3962346367088375	0.36476477178230915	0.3945605407280166	0.9505873226668823	0.8419192517125987	0.4540310250774876	0.4359495589682101	0.39456594011405494	0.393483410882469	0.3351757727625604	0.3037327731324866	0.7167192575017196	0.6339430889445022	0.4154155556525307	0.3811977282023822	0.3238336760790692	0.33528166760376216	0.3545788353132635	0.4207326280355283	0.9678833012786644	0.9051361689150785	0.4590362268110738	0.447123876980316	0.3952435056149909	0.40536561251855574	0.3441475416096504	0.39921694470345687	0.9679923950848222	0.909077016193094	0.4548676386594775	0.4437154081950816	0.383479382843978	0.39316649206342763
model2_K562_2	0.3556659191173869	0.39450012126125455	0.8371375676238267	0.9601862251028666	0.45291318818122	0.4457896882833148	0.38124736576494117	0.4044208793301921	0.31825034549876124	0.344023992457048	0.8611975615756424	1.0	0.44157583794194916	0.45270631211513496	0.3720920743162333	0.3958744013948432	0.37484692234594047	0.3864077580691994	0.8336092762732416	0.8808538793804528	0.46189609126740033	0.43084190891765756	0.38979758921365654	0.3853551402768731	0.3546960557331987	0.28682927577176787	0.5764997813669195	0.6132062380378617	0.3990029803825579	0.3557349867231558	0.3188656840195693	0.3273292752970483	0.3695703203905087	0.4211225035138856	0.8688593760237816	0.9491721718346441	0.4657769757478566	0.4466799153040082	0.3884902611228716	0.3996632265196851	0.3553294638554824	0.3984527714946307	0.8542034781266845	0.9230284710770951	0.45657746357503226	0.4382850440557986	0.3762530656671227	0.38456551965503505
model2_HepG2_1	0.40962181325655594	0.4958525521068558	0.4454618986202701	0.4515913608137376	0.9751674153058931	0.9205390804737426	0.4844816424851448	0.4852424357651862	0.3920377888926594	0.45723848287466723	0.44496684380320356	0.44157583794194916	1.0	0.9104456620065862	0.4779085876721556	0.4805134674311469	0.45245320057660715	0.4992741190526203	0.43917236805850146	0.4453179924070926	0.9598021329196824	0.9133605922201837	0.4962403323989566	0.48381355346851135	0.4023835460321851	0.38824205491332175	0.372144834800596	0.3831786073453156	0.8952730282544634	0.7633272489526333	0.40368747426343277	0.40145188395851666	0.4355525717990557	0.5210522551510213	0.45647926575482256	0.4655177538959283	0.9757582686325299	0.9282770106591803	0.4954906594467839	0.4975513871211349	0.4254737085839157	0.4980232133735824	0.460476295933511	0.476179780733176	0.9799818188335946	0.9157120700187966	0.48667573234173245	0.4850287176057599
model2_HepG2_2	0.4310949985167025	0.5173154552528404	0.45640771791933993	0.46483983423760683	0.9169583724933601	0.9716348673777988	0.5034139109901982	0.5065247343695101	0.414613114673558	0.4774149562797909	0.4524161767900668	0.45270631211513496	0.9104456620065862	1.0	0.4963461067664615	0.5026975595067529	0.4738035031774252	0.5155728941685088	0.4470923501028492	0.4564685374064808	0.9026300448417086	0.9513889075445108	0.5137647597513589	0.5055025527260956	0.414772522467287	0.40501640069087697	0.3828206557891631	0.4007989691312274	0.8479656136224276	0.8482506233794971	0.4223940024890625	0.41706024740938463	0.4562781813161478	0.5411174561003466	0.4677068529866675	0.4775456889591896	0.9183156424877214	0.9686965757899555	0.5137526154614994	0.5180537570410617	0.44648133301245696	0.519864670456608	0.4717258554878138	0.48938477824825816	0.9181057134954803	0.9772539989234098	0.5052423710864148	0.5075020482433829
model2_MCF7_1	0.4423881541784768	0.5200813783533057	0.37854888843863516	0.38377727797862177	0.4775474502861745	0.4876369371395074	0.9652916481265306	0.851651486200871	0.4643118810256055	0.4978274696947794	0.3767100260894793	0.3720920743162333	0.4779085876721556	0.4963461067664615	1.0	0.8496724696026993	0.48297019462820906	0.5076108725483588	0.36923827155620714	0.3755149847137932	0.4717695554540235	0.4737143976118506	0.929880778066896	0.834874105823436	0.412992407934547	0.4079315998379007	0.32718230524719	0.35318798414010977	0.47219101283090276	0.4475851935511444	0.8121979354767499	0.6899254415734106	0.47185299340711107	0.5377973210519055	0.3885506662162174	0.3938370324825339	0.4832529714138417	0.48316413396155616	0.9587274060531802	0.8823273490793057	0.4699949651455425	0.5336119570553104	0.3915184732020933	0.4063228892124927	0.48400016321920175	0.48816433720347036	0.9691242240065853	0.8613908269046675
model2_MCF7_2	0.4805806645445464	0.5464144821680704	0.400427429928677	0.4072647746828538	0.48275441013773485	0.4946568479665758	0.8499476920198565	0.95475220390515	0.48468931735220894	0.5161378340564892	0.3962346367088375	0.3958744013948432	0.4805134674311469	0.5026975595067529	0.8496724696026993	1.0	0.5117891628222636	0.5337801434033229	0.38974129254529033	0.3972481713824985	0.4740148916161366	0.4778007404891087	0.8453455470415294	0.9031516202493587	0.4349468660283023	0.4309962043165681	0.35351396586922607	0.3657544084693551	0.4789284234702356	0.4575441701802337	0.7001732842141164	0.8306152524157796	0.5025914610752652	0.5581614861107288	0.4099289008080107	0.4162810321581148	0.48877983559436755	0.4897003042012762	0.8686797575164735	0.9490304177463589	0.4978877761915613	0.5524320194879967	0.41392078363422286	0.4277125796226535	0.48922228650905153	0.4944919323713025	0.8621305446331495	0.9613436751743408
model3_A549_1	0.9135558447524216	0.7560443613509218	0.37505267334346964	0.3854964330493131	0.46311682184985925	0.47837625934487504	0.4987401650220593	0.5119712216047674	0.8503989841038088	0.712214865426976	0.36476477178230915	0.37484692234594047	0.45245320057660715	0.4738035031774252	0.48297019462820906	0.5117891628222636	1.0	0.7809165339930146	0.37178625280675603	0.3528670995545288	0.4538520890064707	0.46044767687995275	0.5091737261763848	0.5346996256970699	0.7890165842697938	0.6182772004767493	0.30336662740838954	0.39535198063461857	0.4378611209606713	0.42932244510792705	0.42259610084265553	0.39684231671675657	0.9536091763729946	0.7703242620926284	0.37761023248837094	0.38911969648129735	0.46429921512689204	0.47521777349004785	0.5076133349797978	0.5223805067132438	0.9246609951025471	0.7506051321545255	0.37640101723368014	0.3907905541443604	0.45915667141465677	0.47098712545827615	0.5018309061453634	0.5134425157378593
model3_A549_2	0.7252352009856439	0.9244627158790063	0.40159245269455107	0.3975377125731177	0.5078125380795229	0.5190086765570243	0.5141066477348895	0.5279167510194441	0.6829099655923935	0.8896157738760272	0.3945605407280166	0.3864077580691994	0.4992741190526203	0.5155728941685088	0.5076108725483588	0.5337801434033229	0.7809165339930146	1.0	0.4008327219078605	0.3836682976839455	0.49338630725250116	0.5087888853622667	0.5247766308310047	0.5441115775066155	0.6904404546479579	0.796559987965912	0.36251821290154773	0.3680199131031858	0.49188192825178034	0.4776922901470001	0.4478010278423655	0.44705661665991864	0.76418915305266	0.9417895081639988	0.4041816490389789	0.4075141235296364	0.5057750664268366	0.5130135878306723	0.531711707953738	0.5425158082835383	0.7529009695953992	0.9219753647668875	0.4078966285871413	0.41482583684258123	0.5038244514617211	0.5154776371336682	0.5274693800582562	0.5366871408126492
model3_K562_1	0.3453950580145188	0.4011563019974487	0.9566607528931577	0.862957762806457	0.4489171053213218	0.4477070823236484	0.37469628837657076	0.39536709384210306	0.3154080459049166	0.361754466037209	0.9505873226668823	0.8336092762732416	0.43917236805850146	0.4470923501028492	0.36923827155620714	0.38974129254529033	0.37178625280675603	0.4008327219078605	1.0	0.833047557512943	0.45446432422113603	0.4401472137607361	0.3923814036228505	0.3943991752272932	0.33938651721653207	0.3116338988183331	0.6998120703297199	0.6282435801746877	0.40355600976167144	0.3797751098408275	0.31861084040682397	0.3313545516889453	0.359710511633715	0.4201472472859725	0.9643853461286515	0.8945288279233508	0.457082288469159	0.4483587017146894	0.39287693764491904	0.39999442768599375	0.3491884271069931	0.4000478257744411	0.9580405266479413	0.8934634288832717	0.4486453952902097	0.44254969639758024	0.38098445559182376	0.3876312001942214
model3_K562_2	0.33479539992792484	0.38812067679592194	0.8281686538551926	0.8963707876107464	0.4542848163912514	0.45109841712845006	0.3794139474621739	0.4025471573918129	0.2951550167211352	0.342403386343098	0.8419192517125987	0.8808538793804528	0.4453179924070926	0.4564685374064808	0.3755149847137932	0.3972481713824985	0.3528670995545288	0.3836682976839455	0.833047557512943	1.0	0.46090352370884186	0.4378041984823781	0.3879295120030262	0.3885871756044908	0.33112889669306766	0.2885489141097669	0.6003409652502308	0.6076656633947468	0.4181951533304109	0.38700961077325075	0.3251536502691874	0.3385606586883504	0.34167922994747185	0.4107878830848747	0.8547689927111594	0.9119004809035044	0.46690854583795055	0.4504316655326127	0.3909048389221229	0.4012927195082272	0.33306318104782373	0.3896318633677023	0.8460263545240138	0.9175233420904955	0.46055079899263945	0.4482143376081009	0.379547805527541	0.3923033744736459
model3_HepG2_1	0.4101638223737146	0.49061803197473214	0.4567346831269916	0.47261807735348965	0.9715199944617814	0.9214060922957117	0.47999146442928337	0.48141817999502634	0.38633260744014103	0.4483979238552872	0.4540310250774876	0.46189609126740033	0.9598021329196824	0.9026300448417086	0.4717695554540235	0.4740148916161366	0.4538520890064707	0.49338630725250116	0.45446432422113603	0.46090352370884186	1.0	0.922229021880546	0.4958801097563242	0.4788910452862774	0.4086855449219699	0.37945988282584747	0.36272974982768247	0.37950102795131213	0.8515215350784388	0.7388093560918246	0.3968654212876616	0.3958458221419232	0.43862324934678437	0.5182040798571795	0.4726370097085059	0.488297775054185	0.9756938166031202	0.9332943355569967	0.4925206933352711	0.4913838647531934	0.4248995884765365	0.4914246299494568	0.47161045161469345	0.4915189660294662	0.9638937472715655	0.9121210857490943	0.4816915243958447	0.4749610914477908
model3_HepG2_2	0.41660207064197197	0.5018416609766501	0.4407321649284494	0.4444497473454075	0.9246901666457166	0.9684008272256658	0.48139862875725636	0.48209068027023316	0.39849252579344463	0.46668269200087	0.4359495589682101	0.43084190891765756	0.9133605922201837	0.9513889075445108	0.4737143976118506	0.4778007404891087	0.46044767687995275	0.5087888853622667	0.4401472137607361	0.4378041984823781	0.922229021880546	1.0	0.4990397857126188	0.4899217507321416	0.41054896672624924	0.39968272318249143	0.3683610583139949	0.38087728842121027	0.8378070696128155	0.8138199228705528	0.40953330730035037	0.4064209144129246	0.44277842492209424	0.52682596902086	0.4515158679997244	0.46099703733341296	0.9260762809662442	0.9699484981180134	0.49712755114353063	0.4941884901286463	0.43355293302656217	0.5028572121228351	0.4532241585646555	0.4691118437856188	0.918672807838091	0.9636739434703931	0.4882068984998051	0.48129968294730924
model3_MCF7_1	0.4620930231333095	0.5332896304884518	0.39565949265890904	0.40039861304808316	0.4973257268302233	0.5098994024236294	0.9426151779759872	0.850735247197108	0.47669773887640904	0.5067348602853236	0.39456594011405494	0.38979758921365654	0.4962403323989566	0.5137647597513589	0.929880778066896	0.8453455470415294	0.5091737261763848	0.5247766308310047	0.3923814036228505	0.3879295120030262	0.4958801097563242	0.4990397857126188	1.0	0.8605643884284763	0.4311766477197943	0.4203606718906783	0.33502039451828214	0.37201837536727955	0.48324860263167885	0.4614761489248556	0.780983913577473	0.692259579374727	0.49490312182842333	0.5462061234037088	0.406429452597558	0.41405674691102506	0.5036018491317908	0.5067528233923569	0.9536419413754142	0.8812239342208626	0.48720534243836694	0.5433067181696029	0.40704440928067376	0.4231378932979344	0.5015130673697213	0.5075063803119932	0.9475259490873503	0.853526413259893
model3_MCF7_2	0.4964144128217156	0.5518194996896337	0.3981592323696788	0.39810833866973244	0.4851800846246081	0.4992123010369812	0.8394625982206277	0.9106006685679062	0.4979471549050924	0.5207575872292354	0.393483410882469	0.3853551402768731	0.48381355346851135	0.5055025527260956	0.834874105823436	0.9031516202493587	0.5346996256970699	0.5441115775066155	0.3943991752272932	0.3885871756044908	0.4788910452862774	0.4899217507321416	0.8605643884284763	1.0	0.4466562073470972	0.45367005932108984	0.350981936323818	0.37573649173328544	0.4800885150487209	0.46147451498874187	0.7218846692509883	0.8001108311353751	0.5195847023011657	0.5532173299526376	0.40689077897801973	0.41009149614167206	0.4911771564491602	0.4955382018090238	0.8720742085829928	0.9257524167742682	0.5093342339402094	0.5530485119177952	0.4097153816632782	0.4211124305422665	0.490926338412413	0.49882397503818526	0.8590755117222186	0.920900898074261
model4_A549_1	0.8063361226069194	0.6622196657362499	0.3427041850187428	0.35982776999982724	0.41302321983682927	0.4198865397446898	0.42387552289899666	0.43682577482010315	0.7771686313557581	0.6159308709704351	0.3351757727625604	0.3546960557331987	0.4023835460321851	0.414772522467287	0.412992407934547	0.4349468660283023	0.7890165842697938	0.6904404546479579	0.33938651721653207	0.33112889669306766	0.4086855449219699	0.41054896672624924	0.4311766477197943	0.4466562073470972	1.0	0.5587482677732395	0.27106018853949065	0.3223663656621716	0.3866825774686636	0.35824887696886204	0.3955634896501661	0.38007517629348125	0.8204572777856863	0.6919001100027167	0.3463978177378667	0.36138355384791404	0.4142858706825696	0.41755150680047076	0.4345073478871284	0.4404980670985106	0.8233814051856135	0.6682490291341835	0.3443713282100826	0.35775752697910496	0.4097437160128552	0.4125809913857603	0.43178112611313063	0.42980697407577434
model4_A549_2	0.5862937612783281	0.834419696609652	0.3133712019462961	0.30080925324242225	0.3933494138232989	0.4043902294193257	0.4108663194945204	0.42765305453467095	0.551343119782373	0.8481719387747657	0.3037327731324866	0.28682927577176787	0.38824205491332175	0.40501640069087697	0.4079315998379007	0.4309962043165681	0.6182772004767493	0.796559987965912	0.3116338988183331	0.2885489141097669	0.37945988282584747	0.39968272318249143	0.4203606718906783	0.45367005932108984	0.5587482677732395	1.0	0.29023505138724953	0.307023173224698	0.3939054494642717	0.38447030917820335	0.4068819487335384	0.40312138606478554	0.609499577908203	0.7869435254342323	0.31243864565221313	0.306254004600021	0.3906935169998037	0.3987878918235567	0.43226520876981944	0.43619778682203686	0.6017615919041621	0.8107105975909747	0.3181387412772308	0.31656584403801474	0.39267940784685906	0.40492822243223	0.4299911331327262	0.43943161901001465
model4_K562_1	0.28907180170681124	0.3609229879494636	0.7137816027323949	0.6064517612347632	0.3731156612125666	0.3775989022311014	0.32762809461852	0.3491723407848552	0.2795604218924743	0.33699240932785185	0.7167192575017196	0.5764997813669195	0.372144834800596	0.3828206557891631	0.32718230524719	0.35351396586922607	0.30336662740838954	0.36251821290154773	0.6998120703297199	0.6003409652502308	0.36272974982768247	0.3683610583139949	0.33502039451828214	0.350981936323818	0.27106018853949065	0.29023505138724953	1.0	0.496999112509227	0.3909738972222392	0.3751482397802945	0.2933913145315159	0.309837839773179	0.29228121840117127	0.3775382245451485	0.6971628014040494	0.6296142401630413	0.37542745874098865	0.3723944920327081	0.33852323630953685	0.3541512254847796	0.29610074671996184	0.36278140103510575	0.7202060786813032	0.6574608399590566	0.37874034783435107	0.3799624283540108	0.33423685171848083	0.3571483015562959
model4_K562_2	0.3660868102090743	0.38318218265719894	0.6420304265049258	0.6445417983994466	0.3864118885719263	0.3959910328956233	0.3651341070847143	0.3694805370698304	0.3551319740326277	0.3539415122829872	0.6339430889445022	0.6132062380378617	0.3831786073453156	0.4007989691312274	0.35318798414010977	0.3657544084693551	0.39535198063461857	0.3680199131031858	0.6282435801746877	0.6076656633947468	0.37950102795131213	0.38087728842121027	0.37201837536727955	0.37573649173328544	0.3223663656621716	0.307023173224698	0.496999112509227	1.0	0.3700903912362457	0.3636161103412274	0.30881496702547084	0.28899590971758077	0.383624202826834	0.38835552256557576	0.6377538924852522	0.6515668771105503	0.38987312668014634	0.39351965611821593	0.3652583617678773	0.3761430585721683	0.37110982759927896	0.3824126032804755	0.6445382233142705	0.6932443789874783	0.39091319014948234	0.3942716282926911	0.3613725395700619	0.36893732364763254
model4_HepG2_1	0.4015947075893461	0.49053972239069366	0.4157536588016268	0.4105597908334452	0.8810021875927999	0.8490570747049206	0.47789430375812475	0.4797578287187008	0.38975988168050935	0.4574944660696495	0.4154155556525307	0.3990029803825579	0.8952730282544634	0.8479656136224276	0.47219101283090276	0.4789284234702356	0.4378611209606713	0.49188192825178034	0.40355600976167144	0.4181951533304109	0.8515215350784388	0.8378070696128155	0.48324860263167885	0.4800885150487209	0.3866825774686636	0.3939054494642717	0.3909738972222392	0.3700903912362457	1.0	0.7758071733427702	0.4186736208077805	0.4096393156930654	0.4193912019209103	0.5123644885983748	0.4220533024430833	0.4233995861808017	0.8757897328907649	0.8476160473191019	0.4851537779645595	0.49123209805644763	0.4153983720901998	0.4928898287837666	0.4315040817677827	0.4441782277264774	0.8970604342433607	0.852554249187092	0.4792207256275564	0.487148110341012
model4_HepG2_2	0.3979508582427899	0.47829276385456004	0.38554950745333816	0.3727043127592985	0.7677402023990161	0.835045317091088	0.4501765443664529	0.4523105559358715	0.38964174799838114	0.45106117310049765	0.3811977282023822	0.3557349867231558	0.7633272489526333	0.8482506233794971	0.4475851935511444	0.4575441701802337	0.42932244510792705	0.4776922901470001	0.3797751098408275	0.38700961077325075	0.7388093560918246	0.8138199228705528	0.4614761489248556	0.46147451498874187	0.35824887696886204	0.38447030917820335	0.3751482397802945	0.3636161103412274	0.7758071733427702	1.0	0.39561853663833607	0.37824295647863343	0.4075923301534581	0.4907954553510906	0.389835344300785	0.3864488590574384	0.7635223402325028	0.8221685102711476	0.4613284056535352	0.46575830609475544	0.4070960883940326	0.4797099670195755	0.3990370607420248	0.40916246934196754	0.7732054685188736	0.847818405025745	0.45798359192737703	0.46685248170437743
